,Område,Tid,Indhold
899,Silkeborg,2017,46332
900,Skanderborg,2008,30805
901,Skanderborg,2009,29687
902,Skanderborg,2010,29627
903,Skanderborg,2011,29806
904,Skanderborg,2012,29686
905,Skanderborg,2013,29439
906,Skanderborg,2014,29794
907,Skanderborg,2015,30151
908,Skanderborg,2016,30859
909,Skanderborg,2017,31593
910,Syddjurs,2008,20922
911,Syddjurs,2009,19922
912,Syddjurs,2010,19762
913,Syddjurs,2011,19704
914,Syddjurs,2012,19621
915,Syddjurs,2013,19391
916,Syddjurs,2014,19425
917,Syddjurs,2015,19761
918,Syddjurs,2016,19970
919,Syddjurs,2017,20413
920,Aarhus,2008,157936
921,Aarhus,2009,154281
922,Aarhus,2010,154769
923,Aarhus,2011,154557
924,Aarhus,2012,155322
925,Aarhus,2013,157403
926,Aarhus,2014,160332
927,Aarhus,2015,163343
928,Aarhus,2016,167618
929,Aarhus,2017,172019
930,Province Vestjylland,2008,226882
931,Province Vestjylland,2009,214018
932,Province Vestjylland,2010,211769
933,Province Vestjylland,2011,210736
934,Province Vestjylland,2012,207850
935,Province Vestjylland,2013,206787
936,Province Vestjylland,2014,207769
937,Province Vestjylland,2015,209176
938,Province Vestjylland,2016,211563
939,Province Vestjylland,2017,214444
940,Herning,2008,45639
941,Herning,2009,43071
942,Herning,2010,42732
943,Herning,2011,42871
944,Herning,2012,42525
945,Herning,2013,42600
946,Herning,2014,43001
947,Herning,2015,43494
948,Herning,2016,44325
949,Herning,2017,45017
950,Holstebro,2008,30743
951,Holstebro,2009,29127
952,Holstebro,2010,28781
953,Holstebro,2011,28599
954,Holstebro,2012,28357
955,Holstebro,2013,28384
956,Holstebro,2014,28551
957,Holstebro,2015,28576
